,songname_vector,tempo_vector,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,mel_mean,mel_std,mel_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,mfcc_mean,mfcc_std,mfcc_var
1,Imagine Dragons - Follow You.mp3,123.046875,160005,1300.8536585365853,0.40965914726257324,0.2954723834991455,15.428491592407227,122.9759750366211,15123.08984375,0.012674631,2.5340872,6.421598,3.8216118812561035,43.47418975830078,1890.005126953125
2,LeagueofLegends - Legends Never Die.mp3,135.99917763157896,169874,1530.3963963963963,0.36429316,0.29733336,7.741454,66.79695,4461.8325,0.013413703,2.3887358,5.7060585,1.1509175300598145,56.823585510253906,3228.919921875
3,Lost Sky - Fearless.mp3,112.34714673913044,141333,1284.8454545454545,0.38346186,0.29835492,14.345435,167.15047,27939.28,0.011531216,2.267803,5.1429305,0.14242498576641083,36.88764953613281,1360.6986083984375
4,OneRepublic - Wild Life.mp3,143.5546875,129581,1963.3484848484848,0.31220433,0.2967504,1.7177211,11.6382675,135.44926,0.014073961,1.3698564,1.8765066,-2.353915214538574,69.58709716796875,4842.3642578125
